Year,Ratio,,,,,,,,,,,,,,,,,,,,,,
2002,5.11,,,,,,,,,,,,,,,,,,,,,,
2003,5.92,,,,,,,,,,,,,,,,,,,,,,
2004,6.60,,,,,,,,,,,,,,,,,,,,,,
2005,6.78,,,,,,,,,,,,,,,,,,,,,,
2006,6.95,,,,,,,,,,,,,,,,,,,,,,
2007,7.14,,,,,,,,,,,,,,,,,,,,,,
2008,6.96,,,,,,,,,,,,,,,,,,,,,,
2009,6.39,,,,,,,,,,,,,,,,,,,,,,
2010,6.85,,,,,,,,,,,,,,,,,,,,,,
2011,6.79,,,,,,,,,,,,,,,,,,,,,,
2012,6.77,,,,,,,,,,,,,,,,,,,,,,
2013,6.76,,,,,,,,,,,,,,,,,,,,,,
2014,7.09,,,,,,,,,,,,,,,,,,,,,,
2015,7.53,,,,,,,,,,,,,,,,,,,,,,
2016,7.72,,,,,,,,,,,,,,,,,,,,,,
2017,7.91,,,,,,,,,,,,,,,,,,,,,,
2018,8.04,,,,,,,,,,,,,,,,,,,,,,
2019,7.88,,,,,,,,,,,,,,,,,,,,,,
2020,7.87,,,,,,,,,,,,,,,,,,,,,,
2021,9.05,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 Ratio of median house price to median gross annual (where available) residence-based earnings ,,,,,,,,,,,,,,,,,,,,,,,